stage,sample,dpt_pseudotime
266,9mo_SIGAF3_14686.30h,0.025062151
266,9mo_SIGAF3_14686.30h,0.01218828
266,9mo_SIGAF3_14686.30h,0.00990623
266,9mo_SIGAF3_14686.30h,0.010959477
266,9mo_SIGAF3_14686.30h,0.020822473
266,9mo_SIGAF3_14686.30h,0.019224051
266,9mo_SIGAF3_14686.30h,0.00051534263
266,9mo_SIGAF3_14686.30h,0.015559166
266,9mo_SIGAF3_14686.30h,0.016017508
266,9mo_SIGAF3_14686.30h,0.01067862
266,9mo_SIGAF3_14686.30h,0.013977615
266,9mo_SIGAF3_14686.30h,0.0113489665
266,9mo_SIGAF3_14686.30h,0.008648691
266,9mo_SIGAF3_14686.30h,0.0021811102
266,9mo_SIGAF3_14686.30h,0.0072363685
266,9mo_SIGAF3_14686.30h,0.002014544
266,9mo_SIGAF3_14686.30h,0.019082902
266,9mo_SIGAF3_14686.30h,0.0117502995
266,9mo_SIGAF3_14686.30h,0.00750225
266,9mo_SIGAF3_14686.30h,0.010494222
266,9mo_SIGAF3_14686.30h,0.015841722
266,9mo_SIGAF3_14686.30h,0.019265361
266,9mo_SIGAF3_14686.30h,0.008906189
266,9mo_SIGAF3_14686.30h,0.0035262278
266,9mo_SIGAF3_14686.30h,0.017242616
266,9mo_SIGAF3_14686.30h,0.002883672
266,9mo_SIGAF3_14686.30h,0.019616669
266,9mo_SIGAF3_14686.30h,0.007756056
266,9mo_SIGAF3_14686.30h,0.011568674
266,9mo_SIGAF3_14686.30h,0.004939436
266,9mo_SIGAF3_14686.30h,0.00853266
266,9mo_SIGAF3_14686.30h,0.004515665
266,9mo_SIGAF3_14686.30h,0.0044375365
266,9mo_SIGAF3_14686.30h,0.010734542
266,9mo_SIGAF3_14686.30h,0.014125916
266,9mo_SIGAF3_14686.30h,0.013856665
266,9mo_SIGAF3_14686.30h,0.016522788
266,9mo_SIGAF3_14686.30h,0.004219648
266,9mo_SIGAF3_14686.30h,0.009493378
266,9mo_SIGAF3_14686.30h,0.019336596
266,9mo_SIGAF3_14686.30h,0.00781821
266,9mo_SIGAF3_14686.30h,0.01463234
266,9mo_SIGAF3_14686.30h,0.013425743
266,9mo_SIGAF3_14686.30h,0.019693963
266,9mo_SIGAF3_14686.30h,0.0054208734
266,9mo_SIGAF3_14686.30h,0.023736158
266,9mo_SIGAF3_14686.30h,0.008160025
266,9mo_SIGAF3_14686.30h,0.013936754
266,9mo_SIGAF3_14686.30h,0.007256531
266,9mo_SIGAF3_14686.30h,0.005941304
266,9mo_SIGAF3_14686.30h,0.016513193
266,9mo_SIGAF3_14686.30h,0.011142754
266,9mo_SIGAF3_14686.30h,0.0074484386
266,9mo_SIGAF3_14686.30h,0.01675218
266,9mo_SIGAF3_14686.30h,0.0027288683
266,9mo_SIGAF3_14686.30h,0.0069025406
266,9mo_SIGAF3_14686.30h,0.010615731
266,9mo_SIGAF3_14686.30h,0.0004301586
266,9mo_SIGAF3_14686.30h,0.011440516
266,9mo_SIGAF3_14686.30h,0.008201831
266,9mo_SIGAF3_14686.30h,0.011750517
266,9mo_SIGAF3_14686.30h,0.0032527903
266,9mo_SIGAF3_14686.30h,0.006719674
266,9mo_SIGAF3_14686.30h,0.01892849
266,9mo_SIGAF3_14686.30h,0.018021686
266,9mo_SIGAF3_14686.30h,0.008269632
266,9mo_SIGAF3_14686.30h,0.015250317
266,9mo_SIGAF3_14686.30h,0.01928626
266,9mo_SIGAF3_14686.30h,0.018932141
266,9mo_SIGAF3_14686.30h,0.011295822
266,9mo_SIGAF3_14686.30h,0.0037857913
266,9mo_SIGAF3_14686.30h,0.0058368435
266,9mo_SIGAF3_14686.30h,0.011245895
266,9mo_SIGAF3_14686.30h,0.0141988695
266,9mo_SIGAF3_14686.30h,0.011474008
266,9mo_SIGAF3_14686.30a,0.012733021
266,9mo_SIGAF3_14686.30a,0.017684974
266,9mo_SIGAF3_14686.30a,0.009016553
266,9mo_SIGAF3_14686.30a,0.018028814
266,9mo_SIGAF3_14686.30a,0.010750482
266,9mo_SIGAF3_14686.30a,0.010229533
266,9mo_SIGAF3_14686.30a,0.027112542
266,9mo_SIGAF3_14686.30a,0.013816254
266,9mo_SIGAF3_14686.30a,0.008385538
266,9mo_SIGAF3_14686.30a,0.017309366
266,9mo_SIGAF3_14686.30a,0.018664429
266,9mo_SIGAF3_14686.30a,0.015026405
266,9mo_SIGAF3_14686.30a,0.00734047
266,9mo_SIGAF3_14686.30a,0.015762286
266,9mo_SIGAF3_14686.30a,0.015661372
266,9mo_SIGAF3_14686.30a,0.0008676799
266,9mo_SIGAF3_14686.30a,0.005824522
266,9mo_SIGAF3_14686.30a,0.01365509
266,9mo_SIGAF3_14686.30a,0.010477598
